date,repo_rate
2019-11-04,6.0
2019-11-06,5.75
2019-11-07,5.75
2019-11-09,5.4
2019-11-10,5.15
2019-11-11,5.15
2019-11-12,5.15
2019-12-02,6.25
2019-12-03,6.25
2019-12-04,6.0
2019-12-06,5.75
2019-12-07,5.75
2019-12-08,5.4
2019-12-09,5.4
2019-12-11,5.15
2019-12-12,5.15
2020-01-01,5.15
2020-01-04,4.4
2020-01-05,4.4
2020-01-06,4.0
2020-01-07,4.0
2020-01-09,4.0
2020-01-10,4.0
2020-01-12,4.0
2020-02-01,5.15
2020-02-03,5.15
2020-02-04,4.4
2020-02-06,4.0
2020-02-07,4.0
2020-02-09,4.0
2020-02-10,4.0
2020-02-11,4.0
2020-02-12,4.0
2020-03-01,5.15
2020-03-02,5.15
2020-03-03,5.15
2020-03-04,4.4
2020-03-06,4.0
2020-03-07,4.0
2020-03-08,4.0
2020-03-09,4.0
2020-03-11,4.0
2020-03-12,4.0
2020-04-02,5.15
2020-04-03,5.15
2020-04-05,4.4
2020-04-06,4.0
2020-04-08,4.0
2020-04-09,4.0
2020-04-11,4.0
2020-04-12,4.0
2020-05-02,5.15
2020-05-03,5.15
2020-05-05,4.4
2020-05-06,4.0
2020-05-08,4.0
2020-05-10,4.0
2020-05-11,4.0
2020-06-01,5.15
2020-06-02,5.15
2020-06-03,5.15
2020-06-04,4.4
2020-06-05,4.4
2020-06-07,4.0
2020-06-08,4.0
2020-06-10,4.0
2020-06-11,4.0
2020-07-01,5.15
2020-07-02,5.15
2020-07-04,4.4
2020-07-05,4.4
2020-07-07,4.0
2020-07-08,4.0
2020-07-09,4.0
2020-07-10,4.0
2020-07-12,4.0
2020-08-01,5.15
2020-08-04,4.4
2020-08-05,4.4
2020-08-06,4.0
2020-08-07,4.0
2020-08-09,4.0
2020-08-10,4.0
2020-08-12,4.0
2020-09-01,5.15
2020-09-03,5.15
2020-09-04,4.4
2020-09-06,4.0
2020-09-07,4.0
2020-09-09,4.0
2020-09-10,4.0
2020-09-11,4.0
2020-09-12,4.0
2020-10-01,5.15
2020-10-02,5.15
2020-10-03,5.15
2020-10-04,4.4
2020-10-06,4.0
2020-10-07,4.0
2020-10-08,4.0
