date,risk_free_rate
2016-07-05,6.6048
2016-07-06,6.6048
2016-07-07,6.6048
2016-07-08,6.6048
2016-07-11,6.6048
2016-07-12,6.6048
2016-07-13,6.5634
2016-07-14,6.5634
2016-07-15,6.5634
2016-07-18,6.5634
2016-07-19,6.5634
2016-07-20,6.5634
2016-07-21,6.5634
2016-07-22,6.5634
2016-07-25,6.5634
2016-07-26,6.5634
2016-07-27,6.5634
2016-07-28,6.5634
2016-07-29,6.5634
2016-08-01,6.5634
2016-08-02,6.5634
2016-08-03,6.5634
2016-08-04,6.5634
2016-08-05,6.5634
2016-08-08,6.5634
2016-08-09,6.5634
2016-08-10,6.5634
2016-08-11,6.5634
2016-08-12,6.5634
2016-08-15,6.5634
2016-08-16,6.5634
2016-08-17,6.5634
2016-08-18,6.5634
2016-08-19,6.5634
2016-08-22,6.5634
2016-08-23,6.5634
2016-08-24,6.5634
2016-08-25,6.5634
2016-08-26,6.5634
2016-08-29,6.5634
2016-08-30,6.5634
2016-08-31,6.5634
2016-09-01,6.5634
2016-09-02,6.5634
2016-09-05,6.5634
2016-09-06,6.5634
2016-09-07,6.5634
2016-09-08,6.5634
2016-09-09,6.5634
2016-09-12,6.5634
2016-09-13,6.5634
2016-09-14,6.5219
2016-09-15,6.5219
2016-09-16,6.5219
2016-09-19,6.5219
2016-09-20,6.5219
2016-09-21,6.5219
2016-09-22,6.5219
2016-09-23,6.5219
2016-09-26,6.5219
2016-09-27,6.5219
2016-09-28,6.5219
2016-09-29,6.5219
2016-09-30,6.5219
2016-10-03,6.5219
2016-10-04,6.5219
2016-10-05,6.3563
2016-10-06,6.3563
2016-10-07,6.3563
2016-10-10,6.3563
2016-10-11,6.3563
2016-10-12,6.3563
2016-10-13,6.3563
2016-10-14,6.3563
2016-10-17,6.3563
2016-10-18,6.3563
2016-10-19,6.3977
2016-10-20,6.3977
2016-10-21,6.3977
2016-10-24,6.3977
2016-10-25,6.3977
2016-10-26,6.3563
2016-10-27,6.3563
2016-10-28,6.3563
2016-10-31,6.3563
2016-11-01,6.3563
2016-11-02,6.3977
2016-11-03,6.3977
2016-11-04,6.3977
2016-11-07,6.3977
2016-11-08,6.3977
2016-11-09,6.3149
2016-11-10,6.3149
2016-11-11,6.3149
2016-11-14,6.3149
2016-11-15,6.3149
2016-11-16,5.9428
2016-11-17,5.9428
2016-11-18,5.9428
2016-11-21,5.9428
2016-11-22,5.9428
2016-11-23,5.8602
2016-11-24,5.8602
2016-11-25,5.8602
2016-11-28,5.8602
2016-11-29,5.8602
2016-11-30,5.9428
2016-12-01,5.9428
2016-12-02,5.9428
2016-12-05,5.9428
2016-12-06,5.9428
2016-12-07,5.9428
2016-12-08,5.9428
2016-12-09,5.9428
2016-12-12,5.9428
2016-12-13,5.9428
2016-12-14,6.1908
2016-12-15,6.1908
2016-12-16,6.1908
2016-12-19,6.1908
2016-12-20,6.1908
2016-12-21,6.2322
2016-12-22,6.2322
2016-12-23,6.2322
2016-12-26,6.2322
2016-12-27,6.2322
2016-12-28,6.2735
2016-12-29,6.2735
2016-12-30,6.2735
2017-01-02,6.2735
2017-01-03,6.2735
2017-01-04,6.1908
2017-01-05,6.1908
2017-01-06,6.1908
2017-01-09,6.1908
2017-01-10,6.1908
2017-01-11,6.2735
2017-01-12,6.2735
2017-01-13,6.2735
2017-01-16,6.2735
2017-01-17,6.2735
2017-01-18,6.2735
2017-01-19,6.2735
2017-01-20,6.2735
2017-01-23,6.2735
2017-01-24,6.2735
2017-01-25,6.2322
2017-01-26,6.2322
2017-01-27,6.2322
2017-01-30,6.2322
2017-01-31,6.2322
2017-02-01,6.1908
2017-02-02,6.1908
2017-02-03,6.1908
2017-02-06,6.1908
2017-02-07,6.1908
2017-02-08,6.1081
2017-02-09,6.1081
2017-02-10,6.1081
2017-02-13,6.1081
2017-02-14,6.1081
2017-02-15,6.1908
2017-02-16,6.1908
2017-02-17,6.1908
2017-02-20,6.1908
2017-02-21,6.1908
2017-02-22,6.1495
2017-02-23,6.1495
2017-02-24,6.1495
2017-02-27,6.1495
2017-02-28,6.1495
2017-03-01,6.0668
2017-03-02,6.0668
2017-03-03,6.0668
2017-03-06,6.0668
2017-03-07,6.0668
2017-03-08,5.9428
2017-03-09,5.9428
2017-03-10,5.9428
2017-03-13,5.9428
2017-03-14,5.9428
2017-03-15,5.9428
2017-03-16,5.9428
2017-03-17,5.9428
2017-03-20,5.9428
2017-03-21,5.9428
2017-03-22,5.8602
2017-03-23,5.8602
2017-03-24,5.8602
2017-03-27,5.8602
2017-03-28,5.8602
2017-03-29,5.8189
2017-03-30,5.8189
2017-03-31,5.8189
