date,vix_level,vix_5d_chg,vix_20d_chg,vix_zscore,vix_above_25,usdinr_5d_chg,usdinr_20d_vol,crude_5d_chg,crude_20d_vol,repo_rate,rfr,rate_spread,market_ret_5d,market_ret_20d,market_vol_20d,market_vol_60d,bank_mom_10d,it_mom_10d,fmcg_mom_10d,bank_vs_nifty,fii_net,dii_net,combined_flow,fii_dii_ratio
2017-12-28,12.300000190734863,0.009023840372281988,-0.058192971245259795,-0.2534046641544335,0,0.0010517589177272413,0.0018423559176889534,0.02968080158496189,0.012474038815378662,6.0,6.1908,-0.1908000000000003,0.003221495310111252,0.01119062168092272,0.006946588667924613,0.005753654498364051,0.019396402980541794,0.02151473115673852,0.017215456285732955,0.008205781299619073,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2017-12-29,12.670000076293944,0.04797352492852558,-0.06494465697813356,0.003185476447442563,0,0.001515248010152348,0.001841877609667348,0.034689411540111514,0.012584526558841931,6.0,6.1908,-0.1908000000000003,0.008621520250250165,0.029307558632651186,0.00621571851275367,0.005746334259153354,0.014643039353016363,0.0340338021839699,0.01759042147044987,-0.014664519279634823,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-02,13.6899995803833,0.18119062986608414,-0.07500004027340812,0.697995419148284,0,-0.0022224043763472423,0.0019006212799368674,0.03197845205051397,0.01215847700113311,6.0,6.1908,-0.1908000000000003,-0.0048530612478003875,0.03116381256844117,0.006042298405707229,0.005856333924465366,-0.004019496520268007,0.027440856342686004,0.0038780592189766594,-0.035183309088709175,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-03,13.619999885559082,0.13029042904342658,-0.08344547777704547,0.6602073265002117,0,-0.008637330162111212,0.002305698194324484,0.0273043247695961,0.012166388861834097,6.0,6.2735,-0.2735000000000003,-0.008419698542099088,0.03067188654824679,0.00604745598697757,0.00575589030043037,-0.010840229939837798,0.023710933609368823,0.007338731612499316,-0.04151211648808459,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-04,13.420000076293944,0.07445959345222009,-0.10592938896352966,0.5319457986599888,0,-0.00955847891294681,0.0022737882071443556,0.0389691556314995,0.01217854205374899,6.0,6.2735,-0.2735000000000003,0.0013383604540367347,0.037491552965068155,0.00609282615444516,0.005793790483960014,-0.009910458609288852,0.03067495641436402,-0.00016485927015708057,-0.04740201157435701,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-05,13.109999656677246,0.06585361409608148,-0.13121275519477582,0.32806362565531677,0,-0.011694086839385776,0.002265679328668762,0.02638673027152194,0.009952310658304334,6.0,6.2735,-0.2735000000000003,0.007696019422466733,0.04997897529019388,0.005725982405867838,0.005814840558811975,0.00039655420330930724,0.028718792864275144,0.006880595579731974,-0.04958242108688457,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-08,13.739999771118164,0.08445143554704715,-0.037140901867116494,0.7759544758957374,0,-0.012519065170953247,0.002140227614478137,0.02144988333713993,0.009759752945684557,6.5,6.2735,0.2264999999999997,0.008783085436805121,0.043960211813907024,0.00533805955231914,0.005828245558027845,0.004754931439700627,0.03477929960873283,0.01684218077677002,-0.0392052803742064,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-09,13.850000381469728,0.011687421913123774,0.013167542368045515,0.8666093222771986,0,-0.006528473257404244,0.00229639471328823,0.04200731445221528,0.010233734057937554,6.5,6.2735,0.2264999999999997,0.018483182341553914,0.035535080783873185,0.005040189087477697,0.005676199381182969,0.002151826066926432,0.024811500741416026,0.0199748461533531,-0.03338325471694675,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-10,14.039999961853027,0.03083701026600294,-0.007773827536588285,1.0142444690028027,0,0.0027711597361124163,0.0024431637506703236,0.030992873842447644,0.010196386121755224,6.5,6.3149,0.18510000000000026,0.01793608313893675,0.02958539119449945,0.004984242467447667,0.0056208031289237915,-0.0022595079555944864,0.0464643009539607,0.018007132001962134,-0.03184489915009393,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
2018-01-11,14.010000228881836,0.04396424360906748,-0.08191349811608706,0.999894895346769,0,0.005360903210885226,0.0024904246030163224,0.028457543098338256,0.00913246334477254,6.5,6.3149,0.18510000000000026,0.013840303231470504,0.039356274113450024,0.0044588766047492946,0.005576635946012661,0.006444877682858063,0.05031052598088159,0.02486745837653359,-0.03291139643059196,-6411.6,8142.9,1731.2999999999993,-0.787288645489262
